,Borough,Neighborhood,ID,Name,Likes,Rating,Tips
0,Manhattan,West Village,3fd66200f964a52008e71ee3,Casa,194.0,8.7,66.0
1,Queens,Astoria,4bdf502a89ca76b062b75d5e,Favela Grill,86.0,8.4,57.0
